X,Y,FID,Index_,DISTRICT,CountyNum,COUNTY,Name,Location,InMobileWe,PHONE_NMBR,FeatureTyp,AccessType,O_PUBLIC,FEE,PARKING,PUBTRANSP,RSTRCTNS,DSABLDACSS,RESTROOMS,VISTOR_CTR,DOG_FRIEND,EZ4STROLLE,LIFEGUARD,SHOWERS,FOOD,DRINKWTR,PCNC_AREA,FIREPITS,CAMPGROUND,NUM_REG_CP,NUM_PRM_CP,NUM_GRP_CP,RV_CMP,NUM_RV_STE,HOSTEL,NUM_HSL_BD,NUM_HTL_RM,BT_FACILIT,BT_FACIL_T,MRA_NM_SLP,MRA_NUM_MR,LIGHTHOUSE,LTHS_Y_CON,LTHS_HT,PIER,PIER_Y_CON,PIER_LNGTH,HSTRC_STR,SHPWRECKS,SNDY_BEACH,DUNES,RKY_SHORE,UPLAND_BCH,STRM_CRDOR,WETLAND,BLUFF,BAY_LGN_LK,URBN_WFRNT,OFFSHR_RFG,INLND_AREA,STRS_BEACH,PTH_BEACH,BOARDWLK,BLFTP_TRLS,BLFTP_PRK,TRAIL_OR_P,CCT_LINK,CCTdesigna,BIKE_PATH,EQUEST_TRL,WLDLFE_VWG,SWM_POOL,SWIMMING,DIVING,SNORKLNG,TIDEPOOL,PLAYGROUND,SPORT_FLDS,VOLLEYBALL,WNDSRF_KIT,KAYAKING,SURFING,FISHING,BOATING,BOAT_TOURS,MBCH_SHORE,MBCH_OPEN,A_LND_AC,A_LND_OPEN,SQ_MILES,MILES_TRLS,PermitNum,DATE_OPN,Date_Closd,Archived,ClosureCom,SWAG_CRnmb,O_CLT_AREA,LATITUDE,LONGITUDE,Photo_1,Photo_2,Photo_3,Photo_4,Bch_whlchr,DataUpdate
399877.3211,4649689.4923,1,1,1_North Coast,1,Del Norte,Pelican State Beach,"W of Hwy. 101, .5 mi. S. of Oregon border",Yes, ,Physical Access,Beach Access,Yes,No,Yes, , ,No,No,No, , ,No,No, , , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,Yes,Yes,No,No,No,No,Yes, , , , ,No,Yes, , , ,No,Y/N,LCPA xx,No,No,Yes, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,1, ,41.992854,-124.208809,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Pelican_State_Beach_2013_07_01_4908.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Pelican_State_Beach_SFS_2013_07_01_4903.jpg, , ,707-465-7331,6/13/2022
400273.3582,4647534.702,2,2,1_North Coast,1,Del Norte,Clifford Kamph Memorial Park,"Hwy. 101 , 2 mi. S. of the Oregon border",Yes,707-464-7230,City/County Park,Beach Access,Yes,No,Yes, , ,No,Yes,No,Yes, ,No,No, ,Yes,Yes,Yes,Yes, ,9, , , , , , , , , , , , , , , , ,No, ,Yes,No,No,No,Yes,No,Yes, , , , ,Yes,Yes, ,Yes,Yes,Yes, , ,No,No,No, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,2,Yes,41.973501,-124.203663,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Clifford_Kamph_Memorial_Park_SFS_2013_07_01_4885_1.jpg,https://www.coastal.ca.gov/access-photos//02_del_norte/02_northern_del_norte/Clifford_Kamph_Memorial_Park_SFS_2013_07_01_4886_2.jpg, , , ,
400118.479,4644671.498,3,3,1_North Coast,1,Del Norte,Smith River County Park,"End, Mouth of Smith River Rd., Smith River",Yes, ,City/County Park,Beach Access,Yes,No,Yes, , ,No,No,No, , ,No,No, , , ,No,No, , , , , , , , , , , , , , , , , , ,No, ,No,No,Yes,No,Yes,No,No, , , , ,Yes,Yes, , , ,No, , ,No,No,Yes, , , , , , , , , , , ,Yes,Yes, , , , , , , , , , , , ,3, ,41.947699,-124.205046,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Smith_River_Co_Park_2004_06_04_0005b.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Smith_River_Co_Park_2013_07_01_4911.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Smith_River_Co_Park_SFS_2004_07_06_0012.JPG, , ,
404777.3493,4638236.2674,4,4,1_North Coast,1,Del Norte,Smith River Boating Access,"Fred Haight Dr., W. of Hwy. 101, 3 mi. S. of Town of Smith River",Yes, ,Physical Access,Boat Access,Yes,Yes,Yes, , ,Yes,Yes,No, , ,No,No, , ,Yes,No,No, , , , , , , , ,Yes,Boat Ramp, , , , , , , , ,No, ,No,No,No,No,Yes,No,No, , , , ,No,No, , , ,No, , ,No,No,Yes, , , , , , , , , , , ,Yes,Yes, , , , , , , , , , , , ,4, ,41.890326,-124.14781,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Smith_River_Boating_Access_2013_07_01_4931.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Smith_River_Boating_Access_SFS_2013_07_01_4933.jpg, , , ,
400637.8631,4644244.2146,5,5,1_North Coast,1,Del Norte,Xaa-wan'-k'wvt Village & Resort Boat Ramp,"200 N Salmon Harbor Rd, Smith River.",Yes,707-487-3141,Physical Access,Boat Access,Yes,No,Yes, , ,No,No,No, , ,No,No, , ,No,No,No, , , ,Yes, , , , ,Yes,Boat Ramp, , , , , , , , ,No, ,Yes,No,Yes,Yes,No,No,No, , , , ,No,No, , , ,No, , ,No,No,No, , , , , , , , , , , ,Yes,Yes, , , , , , , , , , , , ,4.5, ,41.943917,-124.198709, , , , , ,
399449.9808,4635953.6866,6,6,1_North Coast,1,Del Norte,Kellogg Beach Park,"W. end of Kellogg Rd., 9 mi. S. of Smith River",Yes, ,City/County Park,Beach Access,Yes,No,Yes, , ,No,No,No, , ,No,No, , ,Yes,No,No, , , , , , , , , , , , , , , , , , ,No, ,Yes,Yes,Yes,No,No,No,No, , , , ,No,No, , , ,No, , ,No,No,No, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,5, ,41.869112,-124.211624,https://www.coastal.ca.gov/access-photos/02_del_norte/03_smith_river_area/Kellogg_Beach_2004_07_06_022_B.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Kellogg_Beach_2013_07_01_4941.jpg, , , ,
398973.1239,4628051.18,7,7,1_North Coast,1,Del Norte,Lake Earl Wildlife Area,"W. of Lake Earl Dr. and Lower Lake Rd., 2 mi. N. of Crescent City",Yes,707-445-6493,GP - waterbody,Beach Access,Yes,Yes,Yes, , ,Yes,Yes,Yes, , ,No,No, ,No,Yes,Yes,No, , , , , , , , ,Yes,Boat Launch, , , , , , , , ,No, ,Yes,Yes,No,Yes,No,Yes,No,Yes,No, , ,No,Yes, , , ,Yes, , ,No,No,Yes, , , , , , , , , , , ,Yes,Yes, , , ,5500,5500, , , , , , , ,6, ,41.79789,-124.216021,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Lake_Earl_Lakeview_Dr_boat_ramp_2013_07_01_4875.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Lake_Earl_Wildlife_Area_2013_07_01_4874.jpg, , , ,
401937.1591,4629766.0962,8,8,1_North Coast,1,Del Norte,Lakeview Drive Boat Launch,End of Lakeview Dr. off Lake Earl Dr.,Yes, ,Waterfront Features,Boat Access,Yes,No,Yes, , ,No,No,No, ,No, ,No,No, ,No,No,No, , , , , , , , ,Yes,Boat Launch, , , , , , , , ,No, ,No,No,No,No,No,Yes,No,Yes,No, , ,No,No,No,No,No,No, , ,No,No,Yes,No,No,No,No,No,No,No,No, ,Yes,No,Yes,Yes, , , , , , , , , , , , , , ,41.813705,-124.180635, , , , , ,
400377.0814,4637342.8991,9,9,1_North Coast,1,Del Norte,Tolowa Dunes State Park,"W. of Lake Earl Dr. and Lower Lake Rd., 2 mi. N. of Crescent City",Yes,707-464-6101,National/State/Regional Park/Beach/Rec Area,Beach Access,Yes,Yes,Yes, , ,Yes,Yes,No, , ,No,No, ,No,Yes,Yes,Yes, ,6, , , , , , , , , , , , , , , , ,No, ,Yes,Yes,No,Yes,No,Yes,No,Yes,No, ,Yes,No,Yes, , , ,Yes, , ,No,No,Yes, , , , , , , , , , , ,Yes,No, , , ,5000,5000, , , , , , , ,6.1, ,41.881739,-124.200689, , , , ,707-465-7331,
395912.7966,4626405.2639,10,10,1_North Coast,1,Del Norte,Point St. George Heritage Area,"End of Radio Rd., Crescent City",Yes,707-464-7230,Physical Access,Beach Access,Yes,No,Yes, , ,No,No,No, , ,No,No, , , ,No,No, , , , , , , , , , , , ,Yes, , , , , ,Yes, ,Yes,No,Yes,Yes,No,No,No, , , , ,No,Yes, , , ,Yes, , ,No,No,Yes, , , , , , , , , , , ,Yes,No, , , , , , , , , , , , ,7,Yes,41.782673,-124.25256,https://www.coastal.ca.gov/access-photos/02_del_norte/03_smith_river_area/Pt_St_George_2004_07_06_0070b.jpg,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Point_St_George_Heritage_Area_2013_07_01_4862.jpg, ,https://www.coastal.ca.gov/access-photos/02_del_norte/02_northern_del_norte/Point_St_George_SFS_2013_07_01_4863.jpg, ,
